botid #,date mmddyy,press dbar,temp ITS-90,csal PSS-78,coxy umol/kg,ph,phos umol/kg,nit umol/kg,doc umol/kg,hbact #*1e5/ml,pbact #*1e5/ml,sbact #*1e5/ml,no2 nmol/kg, 
2190200124,30910,5.5,23.0629,35.2514,214.1,-9,0.1,0.03,-9,-9,-9,-9,-9,
2190200123,30910,59.6,23.067,35.2506,214.6,-9,0.11,0.06,-9,-9,-9,-9,-9,
2190200122,30910,90.7,21.7697,35.1897,213.4,-9,0.12,0.08,-9,-9,-9,-9,-9,
2190200121,30910,119.4,20.7957,35.1666,208.5,-9,0.15,0.5,-9,-9,-9,-9,-9,
2190200120,30910,153.6,20.1517,35.2192,204.6,-9,0.15,1.15,-9,-9,-9,-9,-9,
2190200119,30910,231.4,16.3243,34.6606,193.6,7.899,0.41,5.26,51.03,-9,-9,-9,-9,
2190200118,30910,306.1,11.9711,34.2148,199.8,-9,0.86,12,-9,-9,-9,-9,-9,
2190200117,30910,321,11.4653,34.1869,199.7,-9,0.94,13.13,-9,-9,-9,-9,-9,
2190200116,30910,357.7,10.4012,34.1387,194.2,7.748,1.13,15.95,48.18,-9,-9,-9,-9,
2190200115,30910,423.2,8.7239,34.0818,158.9,-9,1.61,22.68,-9,-9,-9,-9,-9,
2190200114,30910,494.1,7.2935,34.0643,113.3,7.515,2.11,29.34,42.89,-9,-9,-9,-9,
2190200224,30910,5.3,23.0785,35.2521,215,-9,0.09,0.04,-9,-9,-9,-9,-9,
2190200223,30910,492,7.4874,34.0684,119.1,-9,2.03,28.04,-9,-9,-9,-9,-9,
2190200323,31010,5.7,23.1625,35.2514,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200322,31010,5.8,23.1626,35.2514,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200321,31010,25.1,23.1604,35.2504,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200320,31010,25.3,23.1604,35.2502,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200319,31010,45.1,23.1364,35.2452,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200318,31010,45.1,23.141,35.2459,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200317,31010,51,23.1608,35.2488,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200316,31010,80.7,22.9546,35.2553,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200315,31010,80.1,22.9705,35.2522,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200314,31010,93.4,21.5728,35.18,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200313,31010,93.3,21.5875,35.18,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200312,31010,128.6,20.4674,35.1726,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200311,31010,128.6,20.4748,35.1746,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200310,31010,155.5,19.9279,35.2054,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200309,31010,179.1,19.2195,35.0986,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200308,31010,206.8,18.1119,34.914,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200307,31010,205.2,18.14,34.9184,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200306,31010,256.4,14.6672,34.4386,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200305,31010,354.3,10.1713,34.1289,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200304,31010,353.8,10.1792,34.1296,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200303,31010,474.8,7.4252,34.067,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200424,31010,5,23.1277,35.248,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200423,31010,4.9,23.1283,35.248,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200422,31010,14.5,23.136,35.2478,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200421,31010,25.3,23.1372,35.2477,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200420,31010,46.1,23.1409,35.2473,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200419,31010,46.1,23.1413,35.247,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200418,31010,46.3,23.1414,35.247,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200417,31010,74.8,23.1247,35.2447,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200416,31010,75.5,23.1242,35.2447,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200415,31010,75.5,23.1253,35.2447,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200414,31010,105.1,21.3684,35.1911,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200413,31010,104.8,21.3801,35.1885,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200412,31010,125.7,20.6553,35.1717,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200411,31010,126.2,20.6409,35.1682,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200410,31010,126.7,20.6235,35.1654,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200409,31010,149.4,20.1248,35.2127,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200408,31010,170.6,19.2371,35.1083,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200407,31010,199.3,17.8987,34.8808,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200406,31010,199.3,17.8286,34.8693,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200405,31010,253.1,13.8749,34.364,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200404,31010,349.3,10.096,34.126,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200403,31010,349.6,10.0863,34.1237,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200402,31010,498.6,7.1651,34.0658,-9,-9,-9,-9,-9,-9,-9,-9,-9,
2190200523,31010,4.8,23.3394,35.2732,213.4,-9,-9,-9,-9,-9,-9,-9,-9,
2190200522,31010,4.7,23.3406,35.2732,213.5,8.069,0.09,0.05,73.98,3.75,2.003,0.012,-9,
2190200521,31010,15.6,23.3373,35.2732,213.5,-9,0.09,0.04,71.87,-9,-9,-9,-9,
2190200520,31010,25.5,23.3391,35.2731,213.4,-9,-9,-9,-9,-9,-9,-9,-9,
2190200519,31010,25.5,23.3389,35.2731,213.4,8.068,0.09,0.05,73.99,3.829,1.989,0.012,-9,
2190200518,31010,36.1,23.3381,35.273,213.3,-9,0.09,0.04,75.47,-9,-9,-9,-9,
2190200517,31010,45.6,23.3361,35.2728,213.8,8.064,0.09,0.04,74.56,3.875,1.914,0.012,-9,
2190200516,31010,59.9,23.2012,35.2685,213.9,-9,0.1,0.05,75.14,-9,-9,-9,-9,
2190200515,31010,75.3,23.0755,35.2563,214.1,8.06,0.1,0.06,74.12,3.323,1.878,0.01,-9,
2190200514,31010,85.5,23.0472,35.2521,214.5,-9,-9,-9,-9,-9,-9,-9,-9,
